index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
3270,45560066,AR308,https://www.petfinder.com/dog/shiloh-45560066/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Collie,,,,,Young,Male,Medium,,Shiloh,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3271,45560071,AR308,https://www.petfinder.com/dog/jake-45560071/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,,,,Young,Male,Medium,,Jake,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3272,45560047,AR308,https://www.petfinder.com/dog/jax-45560047/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Shepherd,,,,Baby,Male,Medium,,Jax,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3273,45560100,AR308,https://www.petfinder.com/dog/lilly-the-german-shepherd-45560100/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,,,,,Baby,Female,Medium,,Lilly the German Shepherd,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3274,45560093,AR308,https://www.petfinder.com/dog/wooley-bell-45560093/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Mixed Breed,,,,Young,Female,Medium,,Wooley Bell,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3275,45560099,AR308,https://www.petfinder.com/dog/mona-45560099/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,,,,Baby,Female,Medium,,Mona,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3276,45560111,AR308,https://www.petfinder.com/dog/piper-45560111/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,,,,Baby,Female,Small,,Piper,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3277,45560054,AR308,https://www.petfinder.com/dog/moose-45560054/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,,,,,Young,Male,Medium,,Moose,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3278,45560080,AR308,https://www.petfinder.com/dog/star-45560080/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Beagle,,,,Baby,Female,Medium,,Star,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
3279,45560062,AR308,https://www.petfinder.com/dog/sadie-45560062/ar/conway/arkanpaws-animal-rescue-ar308/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Shepherd,,,,Baby,Female,Medium,,Sadie,adoptable,2019-08-09T17:28:14+0000,Conway,AR,72034,US,AR
